# name: US-counties-internet
# source: https://raw.githubusercontent.com/eepsmedia/eeps-data-zoo/main/cages/US-counties-internet.csv
# importDate: 2026-01-29T15:54:27.920Z
# description: internet access in US Counties, probably 2023 
# attribute -- name: NAME, description: county or region name, type: categorical, editable: true
# attribute -- name: population, type: numeric, editable: true
# attribute -- name: median_income, type: numeric, editable: true
# attribute -- name: with_internet, description: percent of households with internet, type: numeric, editable: true
# attribute -- name: type, description: urban or rural...note that "mostly urban" means that most of the _people_ live in cities, editable: true
NAME,population,median_income,with_internet,type
"Chautauqua, Kansas",3367,38690,64.5517241,Rural
"Cherokee, Kansas",20331,41103,75.0902078,Mostly Urban
"Cheyenne, Kansas",2677,46833,78.9087948,Rural
"Clark, Kansas",2053,50368,67.9731243,Rural
"Clay, Kansas",8142,56186,76.8371546,Mostly Urban
"Cloud, Kansas",9060,44143,74.9351996,Mostly Urban
"Coffey, Kansas",8296,58636,82.0744081,Mostly Rural
"Comanche, Kansas",1780,56912,81.4516129,Rural
"Cowley, Kansas",35591,48087,76.3305322,Mostly Urban
"Crawford, Kansas",39108,40174,79.5190328,Mostly Urban
"Decatur, Kansas",2881,44104,79.3405114,Rural
"Dickinson, Kansas",19004,48167,77.4644276,Mostly Rural
"Doniphan, Kansas",7736,49338,70.8994709,Mostly Rural
"Douglas, Kansas",119319,55832,90.5257701,Mostly Urban
"Edwards, Kansas",2925,49293,72.734255,Rural
"Elk, Kansas",2562,38494,69.740376,Rural
"Ellis, Kansas",28878,52700,83.3693118,Mostly Urban
"Ellsworth, Kansas",6293,48188,76.9293258,Mostly Rural
"Finney, Kansas",36957,56573,80.6299464,Mostly Urban
"Ford, Kansas",34484,53072,78.7032109,Mostly Urban
"Franklin, Kansas",25563,55486,74.3338008,Mostly Rural
"Geary, Kansas",34895,49185,87.0315195,Mostly Urban
"Gove, Kansas",2619,48894,78.8604459,Rural
"Graham, Kansas",2545,40769,79.8519737,Rural
"Grant, Kansas",7616,55455,83.0632716,Mostly Urban
"Gray, Kansas",6037,64426,81.9642038,Rural
"Greeley, Kansas",1200,51250,80.3643725,Rural
"Greenwood, Kansas",6156,42595,68.2741117,Mostly Rural
"Hamilton, Kansas",2616,45000,75.2347418,Rural
"Harper, Kansas",5673,49455,76.6051011,Rural
"Harvey, Kansas",34555,56051,83.0605993,Mostly Urban
"Haskell, Kansas",4047,53527,78.8562829,Rural
"Hodgeman, Kansas",1842,53854,80.0262812,Rural
"Jackson, Kansas",13318,55904,79.8775964,Mostly Rural
"Jefferson, Kansas",18888,61793,81.1052632,Mostly Rural
"Jewell, Kansas",2916,42552,70.3623188,Rural
"Johnson, Kansas",585502,84915,93.5210969,Mostly Urban
"Kearny, Kansas",3932,51314,79.3814433,Rural
"Kingman, Kansas",7470,58483,76.8683274,Mostly Rural
"Kiowa, Kansas",2526,51336,75.637105,Rural
"Labette, Kansas",20367,47668,76.7957177,Mostly Rural
"Lane, Kansas",1642,51719,85.6416773,Rural
"Leavenworth, Kansas",80042,71184,85.6651885,Mostly Urban
"Lincoln, Kansas",3097,46196,75.0791139,Rural
"Linn, Kansas",9635,43699,65.5473781,Rural
"Logan, Kansas",2810,51597,81.17854,Rural
"Lyon, Kansas",33299,44191,84.0915783,Mostly Urban
"McPherson, Kansas",28630,57765,83.3306229,Mostly Urban
"Marion, Kansas",12032,51262,75.6525371,Mostly Rural
"Marshall, Kansas",9798,50234,77.577821,Mostly Rural
"Meade, Kansas",4261,55568,79.3432836,Rural
"Miami, Kansas",33127,69150,81.2367408,Mostly Rural
"Mitchell, Kansas",6222,45221,80.8868502,Mostly Urban
"Montgomery, Kansas",32970,45173,75.8014478,Mostly Urban
"Morris, Kansas",5566,50352,80.5518469,Rural
"Morton, Kansas",2838,43925,75.1119069,Rural
"Nemaha, Kansas",10104,58644,79.0049751,Mostly Rural
"Neosho, Kansas",16125,44294,73.8212842,Mostly Urban
"Ness, Kansas",2955,51033,75.5521706,Rural
"Norton, Kansas",5486,49891,82.2797927,Mostly Urban
"Osage, Kansas",15882,55036,79.7680806,Mostly Rural
"Osborne, Kansas",3603,48355,75.7539917,Rural
"Ottawa, Kansas",5902,51971,76.3636364,Rural
"Pawnee, Kansas",6709,42853,73.2613909,Mostly Urban
"Phillips, Kansas",5408,48272,83.2839611,Mostly Rural
"Pottawatomie, Kansas",23545,64657,87.280046,Mostly Rural
"Pratt, Kansas",9582,54029,75.6243214,Mostly Urban
"Rawlins, Kansas",2509,48125,80.6506849,Rural
"Reno, Kansas",63101,49174,82.4045984,Mostly Urban
"Republic, Kansas",4686,48022,70.5071174,Rural
"Rice, Kansas",9762,50764,80.0673052,Mostly Rural
"Riley, Kansas",75296,49910,91.1850796,Mostly Urban
"Rooks, Kansas",5118,50511,76,Rural
"Rush, Kansas",3102,40598,75.4811119,Rural
"Russell, Kansas",6977,52806,79.7583082,Mostly Urban
"Saline, Kansas",54977,50515,81.6659163,Mostly Urban
"Scott, Kansas",4949,71394,87.2098765,Mostly Urban
"Sedgwick, Kansas",512064,54974,83.2980044,Mostly Urban
"Seward, Kansas",22692,47025,78.9336979,Mostly Urban
"Shawnee, Kansas",178284,55199,80.3004846,Mostly Urban
"Sheridan, Kansas",2506,56071,79.1887125,Rural
"Sherman, Kansas",5966,52847,86.5987165,Mostly Urban
"Smith, Kansas",3663,43438,80.0713861,Rural
"Stafford, Kansas",4214,48563,74.5996687,Rural
"Stanton, Kansas",2063,46726,72.4907063,Rural
"Stevens, Kansas",5686,56507,76.1904762,Mostly Urban
"Sumner, Kansas",23208,54915,80.0772449,Mostly Rural
"Thomas, Kansas",7824,57478,90.7603756,Mostly Urban
"Trego, Kansas",2858,56810,87.3913043,Rural
"Wabaunsee, Kansas",6888,60450,80.2473627,Rural
"Wallace, Kansas",1575,58875,78.0410742,Rural
"Washington, Kansas",5525,48889,74.1467577,Rural
"Wichita, Kansas",2143,57566,79.7342193,Rural
"Wilson, Kansas",8780,46208,67.0619236,Mostly Rural
"Woodson, Kansas",3170,34621,65.9214092,Rural
"Wyandotte, Kansas",164345,44873,76.6667222,Mostly Urban
"Adair, Kentucky",19241,39346,69.6438746,Mostly Rural
"Allen, Kentucky",20794,40893,70.0662596,Mostly Rural
"Anderson, Kentucky",22214,54160,82.1258839,Mostly Urban
"Ballard, Kentucky",8090,44350,75.8184765,Rural
"Barren, Kentucky",43680,40216,80.1296788,Mostly Rural
"Bath, Kentucky",12268,40837,74.7404844,Rural
"Bell, Kentucky",27188,24628,64.3327239,Mostly Rural
"Boone, Kentucky",129095,75043,91.6795966,Mostly Urban
"Bourbon, Kentucky",20144,51462,72.7977362,Mostly Urban
"Boyd, Kentucky",48091,46165,80.6787956,Mostly Urban
"Boyle, Kentucky",29913,43274,78.9329934,Mostly Urban
"Bracken, Kentucky",8306,45827,70.7432633,Rural
"Breathitt, Kentucky",13116,26376,64.8628335,Mostly Rural
"Breckinridge, Kentucky",20080,48189,73.4462541,Rural
"Bullitt, Kentucky",79466,60534,85.6131273,Mostly Urban
"Butler, Kentucky",12745,40061,67.3538831,Rural
"Caldwell, Kentucky",12727,44940,75.8307573,Mostly Rural
"Calloway, Kentucky",38776,40219,81.777201,Mostly Urban
"Campbell, Kentucky",92267,59782,84.0283133,Mostly Urban
"Carlisle, Kentucky",4841,39664,75.8415842,Rural
"Carroll, Kentucky",10711,43258,66.4405928,Mostly Rural
"Carter, Kentucky",27290,33067,66.8772563,Mostly Rural
"Casey, Kentucky",15796,34457,70.221169,Rural
"Christian, Kentucky",72263,41235,76.9916673,Mostly Urban
"Clark, Kentucky",35872,52938,78.477854,Mostly Urban
"Clay, Kentucky",20621,26250,71.842623,Mostly Rural
"Clinton, Kentucky",10211,31115,57.0273794,Rural
"Crittenden, Kentucky",9083,43169,66.2002743,Mostly Rural
"Cumberland, Kentucky",6713,32906,65.1137595,Rural
"Daviess, Kentucky",99937,49836,82.1292203,Mostly Urban
"Edmonson, Kentucky",12122,41360,77.977896,Rural
"Elliott, Kentucky",7517,33377,64.3245342,Rural
"Estill, Kentucky",14313,31337,69.180447,Mostly Rural
"Fayette, Kentucky",318734,54918,88.2800491,Mostly Urban
"Fleming, Kentucky",14479,42213,73.046875,Mostly Rural
"Floyd, Kentucky",36926,31267,71.1007057,Mostly Rural
"Franklin, Kentucky",50296,55068,84.7233533,Mostly Urban
"Fulton, Kentucky",6210,28559,65.7686212,Mostly Rural
"Gallatin, Kentucky",8703,50204,72.730231,Rural
"Garrard, Kentucky",17328,49888,78.7630075,Mostly Rural
"Grant, Kentucky",24915,45610,73.3303198,Mostly Rural
"Graves, Kentucky",37294,41615,73.0392157,Mostly Rural
"Grayson, Kentucky",26178,37906,74.762051,Mostly Rural
"Green, Kentucky",11023,37374,69.5029109,Rural
"Greenup, Kentucky",35765,49343,81.2548908,Mostly Urban
"Hancock, Kentucky",8719,52019,77.73402,Mostly Rural
"Hardin, Kentucky",108095,53168,83.9361728,Mostly Urban
"Harlan, Kentucky",27134,26324,67.0382592,Mostly Rural
"Harrison, Kentucky",18668,49696,69.9818156,Mostly Rural
"Hart, Kentucky",18627,37795,70.8521406,Mostly Rural
"Henderson, Kentucky",46137,45389,77.9761905,Mostly Urban
"Henry, Kentucky",15814,51447,75.3792299,Rural
"Hickman, Kentucky",4568,40463,67.4393531,Rural
"Hopkins, Kentucky",45664,45738,74.1971983,Mostly Urban
"Jackson, Kentucky",13373,32143,69.0925756,Rural
"Jefferson, Kentucky",767154,54357,84.828144,Mostly Urban
"Jessamine, Kentucky",52422,56728,85.0263677,Mostly Urban
"Johnson, Kentucky",22843,37559,77.4865514,Mostly Rural
"Kenton, Kentucky",164688,61606,85.7435187,Mostly Urban
"Knott, Kentucky",15513,29326,69.0296156,Rural
"Knox, Kentucky",31467,28790,59.6577017,Mostly Rural
"Larue, Kentucky",14156,41779,78.546162,Mostly Rural
"Laurel, Kentucky",60180,39230,76.9650319,Mostly Rural
"Lawrence, Kentucky",15783,31813,71.0040296,Mostly Rural
"Lee, Kentucky",6751,23972,56.2849162,Rural
"Leslie, Kentucky",10472,30798,70.1160313,Rural
"Letcher, Kentucky",22676,29856,72.4322685,Rural
"Lewis, Kentucky",13490,31096,68.2428703,Rural
"Lincoln, Kentucky",24458,39833,66.1652586,Mostly Rural
"Livingston, Kentucky",9263,46076,70.4310562,Mostly Rural
"Logan, Kentucky",26849,43842,64.6663512,Mostly Rural
"Lyon, Kentucky",8186,50097,72.1301412,Rural
"McCracken, Kentucky",65284,44486,78.4418663,Mostly Urban
"McCreary, Kentucky",17635,23273,59.6485571,Rural
"McLean, Kentucky",9331,50445,74.8559455,Rural
"Madison, Kentucky",89700,48687,81.7358332,Mostly Urban
"Magoffin, Kentucky",12666,29516,70.3579858,Rural
"Marion, Kentucky",19232,38544,72.5345498,Mostly Rural
"Marshall, Kentucky",31166,50731,80.5153099,Mostly Rural
"Martin, Kentucky",11919,35125,71.9601167,Rural
"Mason, Kentucky",17153,41415,72.1502012,Mostly Rural
"Meade, Kentucky",28326,57963,85.8432036,Mostly Rural
"Menifee, Kentucky",6405,39905,68.2992673,Rural
"Mercer, Kentucky",21516,50475,76.6538327,Mostly Rural
"Metcalfe, Kentucky",10004,35809,77.2886443,Rural
"Monroe, Kentucky",10634,34167,70.117807,Rural
"Montgomery, Kentucky",27759,41974,75.1145913,Mostly Rural
"Morgan, Kentucky",13285,34419,69.5845099,Rural
"Muhlenberg, Kentucky",31081,43110,72.5103826,Mostly Rural
"Nelson, Kentucky",45388,57469,82.5281573,Mostly Rural
"Nicholas, Kentucky",7100,41354,62.8804751,Rural
"Ohio, Kentucky",24071,42826,71.683561,Mostly Rural
"Oldham, Kentucky",65374,97597,92.7121015,Mostly Urban
"Owen, Kentucky",10741,45338,65.2639633,Rural
"Owsley, Kentucky",4463,25530,64.1225962,Rural
"Pendleton, Kentucky",14520,52620,72.5665399,Rural
"Perry, Kentucky",26917,31046,74.0332975,Mostly Rural
"Pike, Kentucky",60483,34081,74.2083204,Mostly Rural
"Powell, Kentucky",12321,36958,65.9490789,Mostly Rural
"Pulaski, Kentucky",64145,37921,73.1286288,Mostly Rural
"Robertson, Kentucky",2143,38864,54.5454545,Rural
"Rockcastle, Kentucky",16827,36468,70.7739464,Mostly Rural
"Rowan, Kentucky",24499,37639,82.9512052,Mostly Rural
"Russell, Kentucky",17760,36159,66.1164081,Rural
"Scott, Kentucky",53517,66966,87.0335544,Mostly Urban
"Shelby, Kentucky",46786,64240,83.0949363,Mostly Urban
"Simpson, Kentucky",18063,48311,73.0402083,Mostly Urban
"Spencer, Kentucky",18246,77738,90.147563,Rural
"Taylor, Kentucky",25500,39055,76.9278866,Mostly Rural
"Todd, Kentucky",12350,41865,58.6103367,Rural
"Trigg, Kentucky",14344,52279,72.4455611,Mostly Rural
"Trimble, Kentucky",8637,47470,75.9988901,Mostly Rural
"Union, Kentucky",14802,42844,74.5105215,Mostly Rural
"Warren, Kentucky",126427,52007,86.4452081,Mostly Urban
"Washington, Kentucky",12019,50794,71.3520463,Rural
"Wayne, Kentucky",20609,34039,60.6933533,Mostly Rural
"Webster, Kentucky",13155,40947,69.2261307,Rural
"Whitley, Kentucky",36089,36897,66.8534828,Mostly Rural
"Wolfe, Kentucky",7223,22458,60.8093717,Rural
"Woodford, Kentucky",26097,62629,86.0364777,Mostly Urban
"Acadia, Louisiana",62568,41177,73.5685162,Mostly Rural
"Allen, Louisiana",25661,41009,71.25,Mostly Rural
"Ascension, Louisiana",121176,76589,87.3783676,Mostly Urban
"Assumption, Louisiana",22714,44744,72.9379686,Mostly Urban
"Avoyelles, Louisiana",40882,38077,70.2684786,Mostly Rural
"Beauregard, Louisiana",36769,50738,76.5640366,Mostly Rural
"Bienville, Louisiana",13668,30300,65.4276986,Mostly Rural
"Bossier, Louisiana",126131,53806,79.7311378,Mostly Urban
"Caddo, Louisiana",248361,40866,74.7644251,Mostly Urban
"Calcasieu, Louisiana",200182,49452,77.111068,Mostly Urban
"Caldwell, Louisiana",9996,32174,61.1398964,Rural
"Cameron, Louisiana",6868,55000,75.5702723,Rural
"Catahoula, Louisiana",9893,38854,61.418637,Rural
"Claiborne, Louisiana",16153,27303,49.8726871,Mostly Rural
"Concordia, Louisiana",20021,31813,62.4881292,Mostly Urban
"De Soto, Louisiana",27216,44230,71.2344388,Mostly Rural
"East Baton Rouge, Louisiana",444094,52719,84.3249628,Mostly Urban
"East Carroll, Louisiana",7225,21161,37.1574547,Mostly Urban
"East Feliciana, Louisiana",19499,48129,65.1723628,Rural
"Evangeline, Louisiana",33636,32180,64.2602274,Mostly Rural
"Franklin, Louisiana",20322,35466,57.6746625,Mostly Rural
"Grant, Louisiana",22348,40792,64.844756,Mostly Rural
"Iberia, Louisiana",72691,45274,76.0158079,Mostly Urban
"Iberville, Louisiana",32956,47797,75.0320572,Mostly Rural
"Jackson, Louisiana",15926,38523,70.6492637,Mostly Rural
"Jefferson, Louisiana",435300,52558,78.0319133,Mostly Urban
"Jefferson Davis, Louisiana",31467,39653,70.8634032,Mostly Rural
"Lafayette, Louisiana",240091,54726,85.5064786,Mostly Urban
"Lafourche, Louisiana",98214,53089,78.0240885,Mostly Urban
"LaSalle, Louisiana",14949,36868,72.9573535,Mostly Rural
"Lincoln, Louisiana",47356,34154,81.385676,Mostly Urban
"Livingston, Louisiana",138111,63159,83.726642,Mostly Urban
"Madison, Louisiana",11472,27810,53.4111083,Mostly Urban
"Morehouse, Louisiana",25992,33333,55.6568969,Mostly Rural
"Natchitoches, Louisiana",38963,27795,61.9138756,Mostly Rural
"Orleans, Louisiana",389648,39576,73.4172531,Mostly Urban
"Ouachita, Louisiana",156075,41314,73.7995272,Mostly Urban
"Plaquemines, Louisiana",23373,52386,79.5281842,Mostly Urban
"Pointe Coupee, Louisiana",22158,44269,70.7510323,Mostly Rural
"Rapides, Louisiana",131546,44852,78.73125,Mostly Urban
"Red River, Louisiana",8618,33446,68.8662268,Rural
"Richland, Louisiana",20474,34422,57.5835476,Mostly Rural
"Sabine, Louisiana",24088,39465,61.273816,Mostly Rural
"St. Bernard, Louisiana",45694,46011,76.0662719,Mostly Urban
"St. Charles, Louisiana",52724,66620,86.5152969,Mostly Urban
"St. Helena, Louisiana",10411,39895,59.080341,Rural
"St. James, Louisiana",21357,50661,74.0197318,Mostly Urban
"St. John the Baptist, Louisiana",43446,54821,78.3240368,Mostly Urban
"St. Landry, Louisiana",83449,33288,67.8507344,Mostly Urban
"St. Martin, Louisiana",53752,47974,76.3448558,Mostly Urban
"St. Mary, Louisiana",51734,40485,71.372847,Mostly Urban
"St. Tammany, Louisiana",252093,67706,87.4335417,Mostly Urban
"Tangipahoa, Louisiana",130504,46297,78.2439455,Mostly Urban
"Tensas, Louisiana",4666,23870,47.0684932,Rural
"Terrebonne, Louisiana",112587,48866,74.9012846,Mostly Urban
"Union, Louisiana",22475,43083,57.2112895,Mostly Rural
"Vermilion, Louisiana",59867,50690,78.4485947,Mostly Rural
"Vernon, Louisiana",51007,47772,77.5686759,Mostly Urban
"Washington, Louisiana",46457,34985,62.1849224,Mostly Rural
"Webster, Louisiana",39631,30358,52.6124461,Mostly Rural
"West Baton Rouge, Louisiana",25860,60908,81.1959579,Mostly Urban
"West Carroll, Louisiana",11180,36528,50.4825538,Rural
"West Feliciana, Louisiana",15377,55510,74.8464688,Rural
"Winn, Louisiana",14494,35398,71.5284164,Mostly Rural
"Androscoggin, Maine",107444,51412,83.8693368,Mostly Urban
"Aroostook, Maine",68269,39824,75.3482881,Mostly Rural
"Cumberland, Maine",290944,69708,89.808465,Mostly Urban
"Franklin, Maine",30019,48053,81.4927647,Mostly Rural
"Hancock, Maine",54541,53068,83.3411086,Mostly Rural
"Kennebec, Maine",121545,52929,83.1263824,Mostly Rural
"Knox, Maine",39823,55402,87.3280485,Mostly Rural
"Lincoln, Maine",34067,55180,82.5201665,Rural
"Oxford, Maine",57325,47275,79.8693187,Mostly Rural
"Penobscot, Maine",151748,49374,84.356426,Mostly Rural
"Piscataquis, Maine",16887,39470,76.8519777,Rural
"Sagadahoc, Maine",35277,62131,86.3576075,Mostly Rural
"Somerset, Maine",50710,42491,77.142061,Mostly Rural
"Waldo, Maine",39418,51564,82.1702701,Mostly Rural
"Washington, Maine",31694,41384,76.828915,Mostly Rural
"York, Maine",203102,65538,87.5023627,Mostly Rural
"Allegany, Maryland",71977,44065,76.5240507,Mostly Urban
"Anne Arundel, Maryland",567696,97810,91.6907114,Mostly Urban
"Baltimore, Maryland",827625,74127,88.1682768,Mostly Urban
"Calvert, Maryland",91082,104301,90.91912,Mostly Urban
"Caroline, Maryland",32875,54956,79.794719,Mostly Rural
"Carroll, Maryland",167522,93363,88.1819686,Mostly Urban
"Cecil, Maryland",102517,72845,83.8099106,Mostly Urban
"Charles, Maryland",157671,95924,87.3423609,Mostly Urban
"Dorchester, Maryland",32261,52145,76.7113993,Mostly Rural
"Frederick, Maryland",248472,91999,90.2259176,Mostly Urban
"Garrett, Maryland",29376,49619,77.3047296,Mostly Rural
"Harford, Maryland",251025,85942,89.2084557,Mostly Urban
"Howard, Maryland",315327,117730,95.304782,Mostly Urban
"Kent, Maryland",19593,56009,76.2705436,Mostly Rural
"Montgomery, Maryland",1040133,106287,93.3451639,Mostly Urban
"Prince George's, Maryland",906202,81969,88.5342028,Mostly Urban
"Queen Anne's, Maryland",49355,92167,88.7811329,Mostly Rural
"St. Mary's, Maryland",111531,90438,86.3582267,Mostly Rural
"Somerset, Maryland",25737,42165,73.6609806,Mostly Urban
"Talbot, Maryland",37211,67204,85.9565767,Mostly Rural
"Washington, Maryland",149811,59719,79.5736073,Mostly Urban
"Wicomico, Maryland",102172,56608,81.9592422,Mostly Urban
"Worcester, Maryland",51564,61145,83.3010336,Mostly Urban
"Baltimore city, Maryland",614700,48840,77.9131507,Mostly Urban
"Barnstable, Massachusetts",213690,70621,88.7095406,Mostly Urban
"Berkshire, Massachusetts",127328,56674,84.5360451,Mostly Urban
"Bristol, Massachusetts",558905,66157,83.640787,Mostly Urban
"Dukes, Massachusetts",17313,71224,85.9745563,Mostly Urban
"Essex, Massachusetts",781024,75878,86.8249396,Mostly Urban
"Franklin, Massachusetts",70935,59522,84.4697969,Mostly Rural
"Hampden, Massachusetts",469116,53403,80.9542959,Mostly Urban
"Hampshire, Massachusetts",161159,67044,89.4042444,Mostly Urban
"Middlesex, Massachusetts",1595192,97012,90.4878406,Mostly Urban
"Nantucket, Massachusetts",11101,105171,93.6324557,Mostly Urban
"Norfolk, Massachusetts",698249,99511,91.1948731,Mostly Urban
"Plymouth, Massachusetts",512135,85654,89.1039473,Mostly Urban
"Suffolk, Massachusetts",791766,64582,85.9609575,Mostly Urban
"Worcester, Massachusetts",822280,71895,86.8838962,Mostly Urban
"Alcona, Michigan",10364,39735,73.422524,Mostly Rural
"Alger, Michigan",9194,46007,77.4725275,Mostly Rural
"Allegan, Michigan",115250,59883,78.9093023,Mostly Rural
"Alpena, Michigan",28612,41991,78.6742156,Mostly Rural
"Antrim, Michigan",23177,52589,81.4074452,Rural
"Arenac, Michigan",15165,40769,72.1723519,Rural
"Baraga, Michigan",8507,42444,75.3952569,Rural
"Barry, Michigan",60057,61016,81.8791946,Mostly Rural
"Bay, Michigan",104786,48005,80.7272562,Mostly Urban
"Benzie, Michigan",17552,56639,84.0190108,Rural
"Berrien, Michigan",154807,49135,79.3562621,Mostly Urban
"Branch, Michigan",43584,50536,79.8982188,Mostly Rural
"Calhoun, Michigan",134473,47426,78.6969567,Mostly Urban
"Cass, Michigan",51460,53571,81.0357228,Mostly Rural
"Charlevoix, Michigan",26219,53207,82.7225591,Mostly Rural
"Cheboygan, Michigan",25458,46161,77.4573699,Mostly Rural
"Chippewa, Michigan",37834,44483,79.2182828,Mostly Urban
"Clare, Michigan",30616,37369,71.884572,Mostly Rural
"Clinton, Michigan",77896,67482,88.0391557,Mostly Rural
"Crawford, Michigan",13836,47443,82.3714238,Mostly Rural
"Delta, Michigan",36190,46490,77.2399523,Mostly Urban
"Dickinson, Michigan",25570,48966,80.2471363,Mostly Urban
"Eaton, Michigan",109155,62474,85.0934895,Mostly Urban
"Emmet, Michigan",33039,54055,83.4390076,Mostly Rural
"Genesee, Michigan",409361,47006,79.2285379,Mostly Urban
"Gladwin, Michigan",25289,43290,71.0337303,Mostly Rural
"Gogebic, Michigan",15414,38798,73.9235534,Mostly Rural
"Grand Traverse, Michigan",91746,61485,87.8144019,Mostly Urban
"Gratiot, Michigan",41067,44991,75.1268367,Mostly Rural
"Hillsdale, Michigan",45830,48392,75.4524129,Mostly Rural
"Houghton, Michigan",36360,42852,81.7166417,Mostly Urban
"Huron, Michigan",31543,46320,76.1891076,Mostly Rural
"Ingham, Michigan",289564,50940,85.4215686,Mostly Urban
"Ionia, Michigan",64176,54343,81.2363286,Mostly Rural
"Iosco, Michigan",25247,42102,80.0533058,Mostly Rural
"Iron, Michigan",11212,38918,71.6913835,Mostly Rural
"Isabella, Michigan",70775,44408,85.0897987,Mostly Urban
"Jackson, Michigan",158913,51431,81.9745202,Mostly Urban
"Kalamazoo, Michigan",261573,54431,88.7315313,Mostly Urban
"Kalkaska, Michigan",17463,46004,76.7334361,Mostly Rural
"Kent, Michigan",643140,60351,87.4099216,Mostly Urban
"Keweenaw, Michigan",2130,49779,72.8954672,Rural
"Lake, Michigan",11763,34631,65.9729909,Rural
"Lapeer, Michigan",88202,58952,83.7665066,Mostly Rural
"Leelanau, Michigan",21639,63831,86.2652972,Mostly Rural
"Lenawee, Michigan",98474,53972,83.8810109,Mostly Rural
"Livingston, Michigan",188482,80897,90.1489182,Mostly Urban
"Luce, Michigan",6364,42255,74.2465753,Mostly Rural
"Mackinac, Michigan",10817,46507,75.4352763,Mostly Rural
"Macomb, Michigan",868704,60466,86.3532911,Mostly Urban
"Manistee, Michigan",24444,47172,79.16797,Mostly Rural
"Marquette, Michigan",66939,50771,83.0477426,Mostly Urban
"Mason, Michigan",28884,49663,79.9257119,Mostly Rural
"Mecosta, Michigan",43264,44460,78.6921428,Mostly Rural
"Menominee, Michigan",23234,45508,75.6586967,Mostly Rural
"Midland, Michigan",83389,59271,84.2637505,Mostly Urban
"Missaukee, Michigan",15006,44766,77.0200763,Rural
"Monroe, Michigan",149699,61514,84.5999426,Mostly Urban
"Montcalm, Michigan",63209,47000,74.2392997,Mostly Rural
"Montmorency, Michigan",9261,42305,73.9928486,Rural
"Muskegon, Michigan",173043,48329,81.0893186,Mostly Urban
"Newaygo, Michigan",48142,46724,74.0516652,Mostly Rural
"Oakland, Michigan",1250843,76387,89.7003551,Mostly Urban
"Oceana, Michigan",26417,46217,76.0953037,Mostly Rural
"Ogemaw, Michigan",20928,40150,78.0120482,Rural
"Ontonagon, Michigan",5968,38906,74.7218359,Rural
"Osceola, Michigan",23232,42689,71.5384615,Rural
"Oscoda, Michigan",8277,40255,68.4884937,Rural
"Otsego, Michigan",24397,52645,83.7649201,Mostly Rural
"Ottawa, Michigan",284034,67468,88.5075526,Mostly Urban
"Presque Isle, Michigan",12797,46439,73.6742424,Mostly Rural
"Roscommon, Michigan",23877,40302,80.300945,Mostly Rural
"Saginaw, Michigan",192778,46919,79.1437799,Mostly Urban
"St. Clair, Michigan",159566,55240,83.8716148,Mostly Urban
"St. Joseph, Michigan",60897,50117,78.4489218,Mostly Rural
"Sanilac, Michigan",41376,45277,75.4875138,Mostly Rural
"Schoolcraft, Michigan",8069,40747,76.2160549,Mostly Rural
"Shiawassee, Michigan",68493,54742,81.0569194,Mostly Rural
"Tuscola, Michigan",53250,47694,77.0026196,Mostly Rural
"Van Buren, Michigan",75272,52351,79.1369386,Mostly Rural
"Washtenaw, Michigan",365961,69434,91.410741,Mostly Urban
"Wayne, Michigan",1761382,45321,78.7678451,Mostly Urban
"Wexford, Michigan",33111,44166,76.9554892,Mostly Rural
"Aitkin, Minnesota",15834,45989,76.2997537,Rural
"Anoka, Minnesota",347431,79923,90.3230638,Mostly Urban
"Becker, Minnesota",33773,59278,82.30889,Mostly Rural
"Beltrami, Minnesota",46117,47410,82.2940189,Mostly Rural
"Benton, Minnesota",39779,56357,84.5902448,Mostly Urban
"Big Stone, Minnesota",5016,51920,74.8900616,Rural
"Blue Earth, Minnesota",66322,55861,88.5893806,Mostly Urban
"Brown, Minnesota",25211,57728,81.315814,Mostly Urban
"Carlton, Minnesota",35540,60390,78.4468624,Mostly Rural
"Carver, Minnesota",100416,97895,92.259846,Mostly Urban
"Cass, Minnesota",29022,50173,80.6565695,Rural
"Chippewa, Minnesota",12010,54552,79.4036877,Mostly Rural
"Chisago, Minnesota",54727,80409,87.8071834,Mostly Rural
"Clay, Minnesota",62801,65000,83.2730637,Mostly Urban
"Clearwater, Minnesota",8812,46291,76.4603817,Rural
"Cook, Minnesota",5311,52271,84.586884,Rural
"Cottonwood, Minnesota",11372,53354,78.0618557,Mostly Rural
"Crow Wing, Minnesota",63855,54508,84.8411033,Mostly Rural
"Dakota, Minnesota",418201,83288,91.0848986,Mostly Urban
"Dodge, Minnesota",20582,71669,89.0286604,Mostly Rural
"Douglas, Minnesota",37203,60676,82.6349497,Mostly Rural
"Faribault, Minnesota",13896,52286,77.6614881,Mostly Rural
"Fillmore, Minnesota",20888,59451,78.9296102,Mostly Rural
"Freeborn, Minnesota",30526,52447,78.920586,Mostly Urban
"Goodhue, Minnesota",46217,64765,85.149899,Mostly Urban
"Grant, Minnesota",5938,55912,81.5769231,Rural
"Hennepin, Minnesota",1235478,74113,89.3697018,Mostly Urban
"Houston, Minnesota",18663,58729,83.8406063,Mostly Rural
"Hubbard, Minnesota",20862,55472,83.159104,Mostly Rural
"Isanti, Minnesota",38974,72473,83.7709155,Mostly Rural
"Itasca, Minnesota",45203,53022,79.7684276,Mostly Rural
